aalib 1.4rc5-17
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.1-1
perl-error 0.17029-5
perl-image-exiftool 12.70-2
perl-io-tty 1.18-1
perl-ipc-run 20231003.0-1
perl-mailtools 2.21-7
perl-time-duration 1:1.21-1
perl-timedate 2.33-5
php 8.2.14-1
php-apache 8.2.14-1
phpmyadmin 5.2.1-1
picom-ftlabs-git 2098_2023.12.23-1
pinentry 1.2.1-3
pipewire 1:1.0.0-2
pixman 0.42.2-1
pkgconf 2.1.0-2
playerctl 2.4.1-3
plocate 1.1.19-1
polkit 123-1
polybar 3.7.1-1
poppler 23.12.0-1
poppler-glib 23.12.0-1
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-2
psmisc 23.6-1
pulseaudio 16.1-7
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-equalizer 16.1-7
python 3.11.6-1
python-aiogram 2.22.2-2
python-aiohttp 3.9.1-1
python-aiosignal 1.3.1-4
python-annotated-types 0.6.0-1
python-appdirs 1.4.4-9
python-argcomplete 2.0.0-2
python-async-timeout 4.0.3-1
python-attrs 23.1.0-1
python-autocommand 2.2.2-4
python-babel 2.12.1-1
python-cairo 1.25.1-1
python-certifi 2023.11.17-1
python-cffi 1.16.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-click 8.1.7-1
python-configobj 5.0.8-4
python-cryptography 41.0.7-1
python-distlib 0.3.7-1
python-distro 1.8.0-3
python-docopt 0.6.2-12
python-fastjsonschema 2.19.0-1
python-filelock 3.13.1-1
python-frozenlist 1.4.0-1
python-gobject 3.46.0-1
python-idna 3.5-1
python-inflect 7.0.0-2
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-more-itertools 10.1.0-1
python-multidict 6.0.4-2
python-nspektr 0.5.0-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pdftotext 2.2.2-4
python-pexpect 4.8.0-7
python-pillow 10.1.0-2
python-pip 23.3.2-1
python-pipenv 2023.11.15-1
python-pipx 1.3.3-2
python-platformdirs 4.1.0-1
python-ply 3.11-12
python-psutil 5.9.6-1
python-ptyprocess 0.7.0-5
python-pyalsa 1.2.7-4
python-pycparser 2.21-5
python-pydantic 2.5.2-1
python-pydantic-core 1:2.14.5-1
python-pyparsing 3.1.1-1
python-pyqt5 5.15.10-1
python-pyqt5-sip 12.13.0-1
python-pytz 2023.3.post1-1
python-setuptools 1:69.0.2-1
python-six 1.16.0-8
python-tomli 2.0.1-3
python-trove-classifiers 2023.11.29-1
python-typing_extensions 4.9.0-1
python-urwid 2.2.3-1
python-userpath 1.9.1-1
python-validate-pyproject 0.13-1
python-virtualenv 20.25.0-1
python-virtualenv-clone 0.5.7-4
python-wheel 0.42.0-1
python-xlib 0.33-2
python-yarl 1.9.4-1
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r148-1
qt5-declarative 5.15.11+kde+r32-1
qt5-svg 5.15.11+kde+r6-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r60-1
qt5-x11extras 5.15.11-1
raptor 2.0.16-4
rasqal 1:0.9.33-6
rav1e 0.6.6-3
re2 1:20231101-1
readline 8.2.007-1
redland 1:1.0.17-8
reflector 2023-1
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 14.0.3-1
ristretto 0.13.1-1
rnote 0.9.4-1
rofi 1.7.5-2
rofi-calc 2.2.0-1
rofi-power-menu-git 3.1.0.r0.g395c1e0-1
rtkit 0.13-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.4.22-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.7.1-1
ruby-logger 1.5.1-3
ruby-minitest 5.20.0-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
